ID,Movie_name,Overview,Genres,Release Date,Collection_name,backdrop_path,poster_path
10000,La estrategia del caracol,"A group of tenants living in an old house are confronted with having to move out due to a renovation project the city has undertaken. The tenants decide to unite and come up with a strategy, but in the process—while the landlord and his aggressive attorney are chasing them—the tenants transform into the opposite of who they once were.",Comedy,12/25/1993,,/oO3ioT2v8FTE7js2jbmnoCnyvy6.jpg,/7Slakz6z2I3VJ684FuDP1ZLOQbi.jpg
10001,Young Einstein,"Albert Einstein is the son of a Tasmanian apple farmer, who discovers the secret of splitting the beer atom to put the bubbles back into beer. When Albert travels to Sydney to patent his invention he meets beatuiful French scientist Marie Curie, as well as several unscrupulous types who try to take advantage of the naive genius and his invention.",Comedy,12/15/1988,,/ke8MuTHVveodT0YQxV1TcTh4BXd.jpg,/6D4yLH2gMBt8S64f8Arrt39cFFb.jpg
10002,Mona Lisa,"George is a small-time crook just out of prison who discovers his tough-guy image is out of date. Reduced to working as a minder/driver for high class call girl Simone, he has to agree when she asks him to find a young colleague from her King's Cross days. That's when George's troubles just start.",Crime,6/13/1986,,/l4fd85p8ct59qBfQRFf2mBxExIC.jpg,/kCwZ3v6ReL9tyeLJsizzemsrmbS.jpg
10003,The Saint,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",Thriller,4/3/1997,,/x49IwKwFo7UTtx7729j3MMJcUzZ.jpg,/dS1VfyHsDjlmtuhMPFvtAqKcN8M.jpg
10004,Desperation,"When a sheriff arrests a writer, a family, a couple, and a hitchiker and throws them in a jail cell in the deserted town of Desperation, they must fight for their lives.",Drama,5/23/2006,,/vXtSgdZjWV3HPacdAVaUMzOzFsK.jpg,/bjELwweoUlLSk9DtOS3MXBJVLTX.jpg
10005,Behind Enemy Lines II: Axis of Evil,"Navy SEALS, headed by Lt. Bobby James, are dispatched to North Korea on a covert mission, all in an effort to take out a missile site...",Action,10/17/2006,Behind Enemy Lines Collection,/eKRKdTPXzgUlDNhWF00bCz9wGM1.jpg,/7sbLeFbRxSNXHc1ZO4zxFy3sIgc.jpg
10006,Wild Seven,"In this darkly karmic vision of Arizona, a man who breathes nothing but ill will begins a noxious domino effect as quickly as an uncontrollable virus kills. As he exits Arizona State Penn after twenty-one long years, Wilson has only one thing on the brain, leveling the score with career criminal, Mackey Willis.",Action,1/1/2006,,,/y114dTPoqn8k2Txps4P2tI95YCS.jpg
10007,See No Evil,"A group of delinquents are sent to clean the Blackwell Hotel. Little do they know reclusive psychopath Jacob Goodnight has holed away in the rotting hotel. When one of the teens is captured, those who remain -- a group that includes the cop who put a bullet in Goodnight's head four years ago -- band together to survive against the brutal killer.",Horror,5/19/2006,See No Evil Collection,/e7H4yEE0YJdyQx41nQdvl5U8Evl.jpg,/kAmRKToJVhfF6ObKnZ0hOYxL40L.jpg
10008,An American Haunting,Based on the true events of the only case in US History where a spirit caused the death of a man.,Horror,5/5/2005,,/wTcPEs307cPVYQ6lPXSjQEG416R.jpg,/5ePaCimd7cA9zYNib8WfIbWnrCf.jpg
10009,Brother Bear,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",Adventure,10/23/2003,Brother Bear Collection,/nMKfeFtE9bML6yjdcymrt5vtaNz.jpg,/9VvLgj28J5m04y5gO0mt5np4yF8.jpg
10010,Brother Bear 2,"Kenai finds his childhood human friend Nita and the two embark on a journey to burn the amulet he gave to her before he was a bear, much to Koda's dismay.",Adventure,8/17/2006,Brother Bear Collection,/hbu8yddsZ9jfbGUDbBq3JnoDhEC.jpg,/yaA8q2zHHUgFWdJNxXyAdU71SzM.jpg
10011,Abominable,"A man, crippled in an accident, returns to the woods after rehabilitation, certain that he'll not see Bigfoot again.",Horror,4/10/2006,,/2C8rRez1AjfXBGvjbv8EWf7TBlq.jpg,/nvLvDoGvpGkKOgfmTd4HkPp66Du.jpg
10012,Cursed,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.",Horror,2/25/2005,,/pLZEGXwEMexiQ2FeGGjeUB7DScn.jpg,/em45jL4CfTMyj5V83kj7rhdorJu.jpg
10013,Peggy Sue Got Married,"Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.",Comedy,10/10/1986,,/rR5GhPfulwOHeEbvuom8gwgo2i9.jpg,/nhxj5XmhWeZbWH6LP8IRenyEjbt.jpg
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,"A new family moves into the house on Elm Street, and before long, the kids are again having nightmares about deceased child murderer Freddy Krueger. This time, Freddy attempts to possess a teenage boy to cause havoc in the real world, and can only be overcome if the boy's sweetheart can master her fear.",Horror,10/31/1985,A Nightmare on Elm Street Collection,/89CkuOoqGuNusIsCzluGADmK72B.jpg,/rvAmOv0sZcoQCyJjHPQN4wU8ut4.jpg
10015,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",Action,12/5/1986,,/sU8BrL7SVAzeKXpMNL6spYNrJ9s.jpg,/8k5tnL7mUhaonZ9baqiHZgzh97k.jpg
10016,Ghosts of Mars,Melanie Ballard is a hard nosed police chief in the year 2025. She and a police snatch squad are sent to Mars to apprehend dangerous criminal James Williams. Mars has been occupied by humans for some time and they have set up mining facilities. The mining activities on Mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. It soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the 'invaders'.,Action,8/24/2001,,/zWgDHqc4wmuKgl0s31GCyFsoZsP.jpg,/i2zztssCIbahGES1fdfWFmDXian.jpg
10017,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",Action,11/21/1986,,/6aqZ9OVIf6Ttv3tYMovtIXTfMmA.jpg,/vHrNnqqRYWzkkrJV8MtmUGgC4Kk.jpg
10018,Das Leben ist eine Baustelle.,"After he loses his job, his father, and his girlfriend, Jan's life is a shambles. Then suddenly he meets freakish street musician Vera, and a bittersweet romance unfolds...",Romance,3/20/1997,,/dpoHh6pCPrDWYerSriIufm4EBe.jpg,/al2k0P1OO1kduOwOIqL23Fkm1Og.jpg
10019,Mannequin,"Jonathan Switcher, an unemployed artist, finds a job as an assistant window dresser for a department store. When Jonathan happens upon a beautiful mannequin he previously designed, she springs to life and introduces herself as Emmy, an Egyptian under an ancient spell. Despite interference from the store's devious manager, Jonathan and his mannequin fall in love while creating eye-catching window displays to keep the struggling store in business.",Fantasy,2/13/1987,Mannequin Collection,/2FX5uentiz9n7qL9oalBWoKtydw.jpg,/oHMA8euTiZdDFXDi5zaIQQXwl0K.jpg
10020,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",Romance,11/13/1991,Beauty and the Beast Collection,/f1pxwKEQsOToBBoIzOTB5RQqspw.jpg,/fVf2YzecYSjY19hXkd2RhrEL7mI.jpg
10021,The Secret of My Success,"Brantley Foster, a well-educated kid from Kansas, has always dreamed of making it big in New York, but once in New York, he learns that jobs - and girls - are hard to get. When Brantley visits his uncle, Howard Prescott, who runs a multi-million-dollar company, he is given a job in the company's mail room.",Comedy,4/10/1987,,/q01XdEa4gW25BtZ5qmkbuwxfq1p.jpg,/67I1gaW6IA82Ac8lVDpHovDHIz7.jpg
10022,The Pacifier,Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,Comedy,3/4/2005,,/2OQkSOyC5HuCNpq0XO5EEPEdazX.jpg,/brkyQKNcaVNWGsCBCW5bKy9zVeW.jpg
10023,Dragnet,"LAPD Sgt. Joe Friday -- the equally straight-laced nephew of the famous police sergeant of the same name -- is paired up with a young, freewheeling detective named Pep Streebeck. After investigating some strange robberies at the local zoo and the theft of a stockpile of pornographic magazines, they uncover cult activity in the heart of the city and are hot on the case to figure out who's behind it all.",Action,6/23/1987,,/nBX9JINWuOI6jdLXUsPA1vYrP5l.jpg,/2AqQGyY5yM8PCOGxWsMNlegTnDp.jpg
10024,My Sister's Keeper,"Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden, heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girl's life. The parents' desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart, while revealing surprising truths that challenge everyone's perceptions of love and loyalty and give new meaning to the definition of healing.",Drama,6/26/2009,,/wb1f5VcFOnmeOstq0NYRSNHLaqj.jpg,/atRGqnG7pe0hZP97RWDLrT2hRGZ.jpg
10025,Just My Luck,"Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his.",Comedy,2/28/2006,,/c7RJTYNUnTHZciXkkcnK5gSMo0y.jpg,/wWpqG3zrrPZhvNLflYJdbW1NgY3.jpg
10026,Hot Tamale,"A road trip to Los Angeles inadvertently leads a young man from Wyoming into a wild maze of psychotic hit-men, racy women, jewel thieves and a salsa band.",Action,4/23/2006,,,/waEUrsiaRf6RCbDqHJVMRZaAKe0.jpg
10027,Danny the Dog,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",Action,2/2/2005,,/z8ejhyO0hVXk4KVo1bi4HMFP3FS.jpg,/eOmXfQgDLUndae2xnwJfV0JZ2JN.jpg
10028,Honey,"Honey Daniels dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",Romance,11/24/2003,Honey Collection,/aUOGyQwMfzPGwM4kufEPSlcMgMJ.jpg,/xyqsfWcjC9TQZjGn2NLspL5YoJ4.jpg
10029,Very Bad Things,"Kyle Fisher has one last night to celebrate life as a single man before marrying Laura, so he sets out to Vegas with four of his best buddies. But a drug and alcohol filled night on the town with a stripper who goes all the way, turns into a cold night in the desert with shovels when the stripper goes all the way into a body bag after dying in their bathroom. And that's just the first of the bodies to pile up before Kyle can walk down the aisle...",Comedy,9/11/1998,,/2hrgzOj35M3Fa3YFWiaAD2Ty6Hu.jpg,/rYmyRxF5e9fBdgcQScKu0CUtMy5.jpg
10030,Good Luck Chuck,"Cursed since childhood, dentist Charlie Logan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",Comedy,9/21/2007,,/oDdKcMaiv91G8kGJGBO1AsqS9Cb.jpg,/eGxaRbDfxBWPysoxkOfYgkwflxJ.jpg
10031,Devil's Harvest,It seems innocent enough. Struggling young artist Daniel King is invited by his childhood friend Natasha...,Drama,1/1/2003,,,
10032,Van Wilder 2: The Rise of Taj,"Taj Mahal Badalandabad leaves Coolidge College behind for the halls of Camford University in England, where he looks to continue his education, and teach an uptight student how to make the most out of her academic career.",Comedy,12/1/2006,National Lampoon's Van Wilder Collection,/2rEGtAJuwtZmX1isIwvUzUURnWA.jpg,/irk5J6IPY4YV4WKrzhwNap8WESn.jpg
10033,Just Friends,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with – a woman whose rejection of him turned him into a ferocious womanizer.",Comedy,11/23/2005,,/oAfxQnTlfTKmr61RjE3NM2DlzUN.jpg,/jgs2mdFlx8NJzbxXTHeQxvQbN6n.jpg
10034,High Heels and Low Lifes,A nurse eavesdrops with a friend on a cell phone conversation that describes a bank heist. She and the friend then conspire to blackmail the robbers for $2 million.,Action,7/16/2001,,/oSBymzuVPj9ghmKB8Td3RX2Bakp.jpg,/jyC13aGpVP4ogf8jSVfWLdk02h1.jpg
10035,100 Girls,"This sexy, teen-comedy is about a freshman, Matthew, at college who meets his dream girl in a dorm elevator during a blackout. He never sees her face, but instantly falls in love. In the morning, the power is restored, but the ""dream girl"" has vanished. All Matthew knows is that she lives in an all-girls dorm. He sets out on a semester-long journey to find his mystery girl amongst a hundred female suspects. Could it be Wendy? Dora? Arlene? Patty? Cynthia? Or the 95 other girls, any of whom could have been in that elevator with Matthew.",Comedy,9/1/2000,100 Girls Collection,/up2xazOzvD99ZdXpSvwcPEt5nQe.jpg,/xOR20bEMA1BCc9Sg2NgKcSrO1wo.jpg
10036,7 Zwerge - Der Wald ist nicht genug,,Comedy,10/25/2006,Seven Dwarfs Collection,/cHCylUlsksvUwmsCIoxzlFo7RBp.jpg,/x9fLyw1ihuyLodGnHvfFoKWq2su.jpg
10037,The Hunt for Eagle One: Crash Point,"The Strike Force team is back in this action-packed sequel to ""The Hunt For Eagle One""! Terrorists have stolen a Ground Control Encoder...",Action,6/27/2006,The Hunt for Eagle One Collection,/vmM3i7G3Oxn4dVA5Hz62frkJLZX.jpg,/ltOL7KkaecCYp8mDHaQqscqRN2h.jpg
10039,연리지,"Min-Soo is a playboy who can't tolerate long term relationships. However, fate takes him to beautiful Hye-Won. While, Min-Soo becomes totally captivated by Hye-Won, Hye-Woon tries to resist Min-Soo, fearing their love will be shortened by her terminal illness.",Drama,4/13/2006,,/mw0d5Yh3BXBzzAlR2hyuZsTr4ym.jpg,/f9kmc6EW0wj5x2DyNoUEDeKyi3p.jpg
10040,Miss Congeniality 2: Armed and Fabulous,"After her triumph at the Miss United States pageant, FBI agent Gracie Hart becomes an overnight sensation -- and the new ""face of the FBI"". But it's time to spring into action again when the pageant's winner, Cheryl, and emcee, Stan, are abducted.",Action,3/11/2005,Miss Congeniality Collection,/2UYxVugjbaPHH5f3cEQveufe75Y.jpg,/gcYoIHND3ugn2VH1cNHHNQasEyI.jpg
10041,Broken,"After dating a wonderful man, Hope comes back home, sees her daughter Jennifer and goes to sleep. She wakes-up in the woods with a psychopath...",Horror,1/1/2006,,/9nMVsp3mvZHvmbZQk0qdE9dpclN.jpg,/dK4B4WSi0fjOg2wIvq3G53OPyBi.jpg
10042,Within,8 explorers trapped in a Russian cave system are hunted by an unknown presence.,Drama,1/1/2005,,,/dhUhPuzp9LXiuTswcofRegtv8Bk.jpg
10044,福星高照,"Two Hong-Kong cops are sent to Tokyo to catch an ex-cop who stole a large amount of money in diamonds. After one is captured by the Ninja-gang protecting the rogue cop, the other one gets his old Orphanage gang, dubbed the ""Five Lucky Stars,"" to help him. They don't like this much, but they do it.",Action,2/10/1985,Lucky Stars Collection,/x8yA4dKJyctamyiM6jF8Zgqrlkh.jpg,/dZzHBIcJsld2XMvwR75OZGf4NM2.jpg
10045,Banlieue 13,"Set in the ghettos of Paris in 2010, an undercover cop and ex-thug try to infiltrate a gang in order to defuse a neutron bomb.",Action,11/9/2004,District 13 Collection,/c0XgpQURus7xprAhAwtkkyf3iwd.jpg,/u9gOfYelDwmvAmXWC1jgCFIY8RB.jpg
10046,Blueberry,"U.S Marshal Mike Donovan has dark memories of the death of his first love. He keeps peace between the Americans and the natives who had temporarily adopted and taken care of him. The evil actions of a white sorcerer lead him to confront the villain in the Sacred Mountains, and, through shamanic rituals conquer his fears and uncover a suppressed memory he would much rather deny.",Western,2/9/2004,,/tGYwQCwqmfDbkLUq18RAxE0VE9q.jpg,/bnYXbU6RJnsyJZx84KNsZjrSZQK.jpg
10047,Joan of Arc,In 1429 a teenage girl from a remote French village stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. Following her mission to reclaim god's diminished kingdom - through her amazing victories until her violent and untimely death.,Adventure,10/27/1999,,/oUa4yBGTaOK7djFWVRhkaoIQzLb.jpg,/rIvZPfts3aD4b5nROAysnOtSzlX.jpg
10048,Stealth,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control ... before it initiates the next world war.",Action,7/27/2005,,/60sYICEqfCJBddU1JLjHPNrKzjC.jpg,/eVmOkUrEIRm6DKusKbI1gVS8paQ.jpg
10049,Attack Force,"Marshall Lawson is the commander of an elite military unit. Marshall Lawson loses his strike-team in a cold-blooded and seemingly random attack, and he takes it upon himself to investigate the attack, with the help of his girlfriend Tia and his friend Dwayne.",Action,12/5/2006,,/lRyDRKmvenSuej4DbPCM74wrpo5.jpg,/4uYICyRr94S005YHxDA61WI6P9J.jpg
10050,Get Over It,"When Berke Landers, a popular high school basketball star, gets dumped by his life-long girlfriend, Allison, he soon begins to lose it. But with the help of his best friend Felix's sister Kelly, he follows his ex into the school's spring musical. Thus ensues a love triangle loosely based upon Shakespeare's ""A Midsummer Night's Dream"", where Berke is only to find himself getting over Allison and beginning to fall for Kelly.",Comedy,3/8/2001,,/nZw3XiOZxz3vE6hJhWZtoDKSFeK.jpg,/1d3eX6EdxqhiJC0HOl3G5vNeQy7.jpg
10051,Fauteuils d'orchestre,"A young woman arrives in Paris where she finds a job as a waitress in bar next on Avenue Montaigne that caters to the surrounding theaters and the wealthy inhabitants of the area. She will meet a pianist, a famous actress and a great art collector, and become acquainted with the ""luxurious"" world her grandmother has told her about since her childhood.",Comedy,2/15/2006,,/5Je1MgEXyo3Yg8brZPcrmp55cxq.jpg,/nOmm6nNbAPy01F2DjJfdEA5ISnU.jpg
10052,Dragonfly,A grieving doctor is being contacted by his late wife through his patient's near death experiences.,Drama,2/22/2002,,/uVT6sMjUYZpU5CL4RPXH85qoV8q.jpg,/oMRyQniB5ESA4DoyJVLVJifSExB.jpg
10053,When a Stranger Calls,"Far away from the site of a gruesome murder, a teenager named Jill Johnson arrives at a luxurious home for a baby-sitting job. With the children fast asleep, she settles in for what she expects to be an ordinary evening. Soon, the ringing of a phone and the frightening words of a sadistic caller turn Jill's routine experience into a night of terror.",Horror,2/3/2006,,/6JjbT2XMqYAY6AJ5ncXsrvqcUVj.jpg,/h0ZmU7BZDWBucq1FvblfeAWUkad.jpg
10054,Spy Kids,"Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business.""",Action,3/18/2001,Spy Kids Collection,/wfStsmeSW7MtvYhD9Ac6ETXdbmx.jpg,/urb5Wf4yffJQ2KwAuSPxCbOM8HA.jpg
10055,Room 6,A schoolteacher with a phobia of hospitals finds herself searching for her boyfriend inside one while teaming up with a man suffering the same ordeal that she's in.,Horror,6/13/2006,,,/wkDi6nAQzSy5lex7kBaPPTlWx34.jpg
10056,Killer's Kiss,"The film revolves around Davey Gordon, a 29 year old welterweight New York boxer in the end of his career, and his relationship with a dancer and her violent employer.",Crime,10/1/1955,,/6VhN0ScAA8VgK3qyRnZ7azD9XEV.jpg,/6qFsgJl41edLr3Q3tirI2OOLrDk.jpg
10057,The Three Musketeers,"D'Artagnan travels to Paris hoping to become a musketeer, one of the French king's elite bodyguards, only to discover that the corps has been disbanded by conniving Cardinal Richelieu, who secretly hopes to usurp the throne. Fortunately, Athos, Porthos and Aramis have refused to lay down their weapons and continue to protect their king. D'Artagnan joins with the rogues to expose Richelieu's plot against the crown.",Action,11/11/1993,,/7Ug3qr6Y0lWc3y35W0bgu0KgdFb.jpg,/mk8UH7JRmK8adcqJJpB1ygP7B1C.jpg
10060,Get Rich or Die Tryin',"A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",Drama,11/9/2005,,/vUJMZ30G1xdYjUOfQZP6VUvA4jg.jpg,/aaEJu8vFKtrAoSRtw3xjCf1aM5d.jpg
10061,Escape from L.A.,"This time, a cataclysmic temblor hits Los Angeles, turning it into an island. The president views the quake as a sign from above, expels Los Angeles from the country and makes it a penal colony for those found guilty of moral crimes. When his daughter, part of a resistance movement, steals the control unit for a doomsday weapon, Snake again gets tapped to save the day.",Action,8/9/1996,Escape From ... Collection,/yyx9LWQyxAgVtOwVKak0hSCpfcp.jpg,/kyps85aHua0TLbfLC9U1hfxlH4K.jpg
10062,UKM: The Ultimate Killing Machine,Waylon and Buddy decide to join the army but realize that they have been thrown into a medical experiment that plans on turning them into ultimate killing machines.,Horror,11/21/2006,,/jrLKFyVTKZohK3sbuevdUQOhS3C.jpg,/uLz0orq5ebcy06E64muwih2DLoU.jpg
10063,The Breed,"Brothers John and Matt have inherited an island cabin from their recently deceased uncle. Along with Matt's girlfriend, Nicki, and other mutual friends, the siblings travel to the cabin for a relaxing weekend getaway. But, not long after arriving, the group is besieged by ravenous dogs. They watch in horror as another vacationer, Luke, is eaten alive. Soon, they discover a training facility where the dogs have been bred to kill.",Thriller,5/17/2006,,/x7J6WV1EzsQB1abj9TEhDLOZeUr.jpg,/7o3W290glYDaW4d79pdo1LXdxSc.jpg
10064,Edison,"In the troubled city of Edison, a young journalist, his jaded editor, and an honest investigator from the district attorney's office join forces to gather evidence against corrupt members of an elite police unit.",Drama,7/29/2005,,/vF5z449VmIbbTCDYWqIqb73XajA.jpg,/rWPdo3ji7GwbuvmO7Ue1oPwRSOm.jpg
10065,The Amityville Horror,"This hair-raising remake of the 1979 horror hit depicts the ordeal of the Lutz clan, whose new home has a gory past and a legacy of demons. Before long, the family patriarch is plagued by nightmares and his daughter is seeing phantoms.",Horror,4/14/2005,The Amityville Collection,/27acFtG7du5twjjYzUDj5EDbE0p.jpg,/4D246dpe7yy2GvHI2IbpeqkUXry.jpg
10066,House of Wax,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,Horror,4/30/2005,,/2J9uLUgwoNca6iV78HoThnN5heY.jpg,/r0v8qg78Ol9NIsRGe3DME27ORpd.jpg
10067,The Shaggy Dog,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,Comedy,3/9/2006,,/veUujxONO3SyAvfZp5QndqPSzLg.jpg,/ozlRoHApvEdAHQuJ5RMfyYvqytv.jpg
10068,Nine 1/2 Weeks,"An erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",Drama,2/14/1986,9½ Weeks Collection,/kmbRz29SrAAOjNH0hsnBYOddjNN.jpg,/aE1iunrgO8UHfoXKJcjCy4Ih17n.jpg
10069,Stay Alive,"After the mysterious, brutal death of an old friend, a group of teenagers find themselves in possession of ""Stay Alive,"" an ultra-realistic 3-D videogame based on the spine-chilling true story of a 17th century noblewoman, known as ""The Blood Countess."" The gamers don't know anything about the game other than they're not supposed to have it... and they're dying to play it. Not able to resist temptation, the kids begin to play the grisly game but soon make a chilling connection -- they are each being murdered one-by-one in the same way as the characters they played in the game. As the line between the game world and the real world disappears, the teens must find a way to defeat the vicious and merciless Blood Countess, all the while trying to... stay alive.",Horror,3/24/2006,,/g2goLYvmeVXPDXatWRtvjGBrRkH.jpg,/hsSJwroE7jugEROB8tmyxJP91Ho.jpg
10070,Feast,"Trapped in a remote tavern, a group of strangers must band together for survival. Outside the bar, a horde of ravenous, flesh-eating monsters are trying to break in and dine on the frightened humans inside.",Horror,10/14/2005,Feast Collection,/yqa1ZFZLtKFR3Q2YIVYaRpitBbx.jpg,/61RknsRLF5YT1gIgSCVv4qbTt8C.jpg
10071,The Brothers Solomon,"A pair of well-meaning, but socially inept brothers try to find their perfect mates in order to provide their dying father with a grandchild.",Comedy,9/7/2007,,/tXrqV2ZCVzGmiFjltlmm2qNRSM2.jpg,/aAxlGB9hglPm9jFVfOPj1TWVnIK.jpg
10072,A Nightmare on Elm Street 3: Dream Warriors,"It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide.",Horror,2/27/1987,A Nightmare on Elm Street Collection,/euXJlfeYSyrdkOoFQ9gtUG8OOhH.jpg,/qbtZewU6EGvxi8yFVzwZ31NijLX.jpg
10073,Date Movie,"Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",Comedy,2/17/2006,,/cojmS2fnewCrcXlo6roc7awwYbd.jpg,/xjLK0EmD0MAM7B049SRCUQaqkdL.jpg
10074,Hot Rod,"For Rod Kimball, performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank, who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt.",Comedy,8/3/2007,,/6KQ9CWz76m3pT8K0yE08y72nNwD.jpg,/jRkt03dXCVKnbvcQm3ygU1cjg9Y.jpg
10075,Blood and Chocolate,A young teenage werewolf is torn between honoring her family's secret and her love for a man.,Drama,1/26/2007,,/wHzR9AzN9ePToQbCsz0ZZPpzWZp.jpg,/5fjyqkMly7L00CsWqoKtFtdeKyW.jpg
10076,Severed,A multi-national forestry company engages in genetic experimentation to increase logging yield in a remote section of forest...,Drama,10/20/2005,,,/4jCmvyKvuue9MUuq1zYsO8ljneC.jpg
10077,A Sound of Thunder,"When a hunter sent back to the prehistoric era runs off the path he must not leave, he causes a chain reaction that alters history in disastrous ways.",Thriller,5/15/2005,,/cdR9ESJzcocgVphpwO5AYZRwrWg.jpg,/5P9RMG2q5hNRELkWWqxfhQNoyc9.jpg
10078,Magicians,A pair of rivaling stage magicians are forced to confront their falling out over a guillotine mishap when they compete in a magic competition.,Comedy,5/18/2007,,/e2l1RKTBI3FomAga340XASTD69j.jpg,/pdu8lLqzTNx3PDiTHHmqXi0RFEb.jpg
10079,Joy Division,"A teenage orphan fights against the Red Army at the end of WWII and in the aftermath is 'adopted' by a Commissar. Years later he is sent to London during the Cold war to work for the KGB, where he questions his life.",Drama,11/17/2006,,/XDKAdTd7RJ8OGI7co4nivRHRcH.jpg,/9N41CG1eCmffLZnyML1CNyyio9i.jpg
10080,Slip,"""Slip"" is the story of Sarah, a young woman who witnessed her mother's murder as a child. Now grown, Sarah is haunted by her mother's memory, her restless soul, opening a gateway for the spirits of the recently departed. Sarah is compelled to do their bidding so their souls may rest in peace. One of these souls leads her to Cal, a young car thief who is one car away from going legit. Unfortunately, Cal is wrongfully accused of stealing from his partners and now they want him dead.Sarah, drawn by the spirit of Cal's murdered nephew, becomes an avenging angel, awakening a dark spirit of her past while risking all to save a total stranger. Now in a race for their lives as well as their souls, Cal and Sarah soon discover that there are far more fearsome things than men with guns.",Thriller,5/23/2006,,,/qLarSdKy9lSLvYdStbdoC6JHLR3.jpg
